,JS_divergence
249,0.08338913
250,0.09073
251,0.08795525
252,0.13502096
253,0.08769848
254,0.13326874
255,0.09874539
256,0.07696259
257,0.07228592
258,0.07891891
259,0.14211416
260,0.1314467
261,0.08848994
262,0.077987894
263,0.02967451
264,0.12052472
265,0.07504417
266,0.058599487
267,0.03494935
268,0.066241935
269,0.054982107
270,0.05194096
271,0.13332188
272,0.06964543
273,0.12957369
274,0.14940548
275,0.08586046
276,0.11886422
277,0.07112165
278,0.14446104
279,0.100339174
280,0.015812993
281,0.12085956
282,0.08532253
283,0.042980663
284,0.122419074
285,0.058362428
286,0.070006356
287,0.14748883
288,0.07091887
289,0.04152636
290,0.029793983
291,0.06989339
292,0.059844784
293,0.09350008
294,0.05776731
295,0.116824165
296,0.02770601
297,0.06456402
298,0.056242954
299,0.042070996
300,0.02556338
301,0.08419247
302,0.065750234
303,0.033363014
304,0.13203704
305,0.077817574
306,0.09429951
307,0.063498214
308,0.07299327
309,0.07787007
310,0.13215996
311,0.03975839
312,0.04768685
313,0.064423315
314,0.04976115
315,0.082123026
316,0.033460416
317,0.034474734
318,0.043891005
319,0.03837327
320,0.09062576
321,0.14193511
322,0.03504981
323,0.062618785
324,0.15664732
325,0.04208024
326,0.08854398
327,0.10145901
328,0.02811101
329,0.03390304
330,0.013781302
331,0.07568523
332,0.052150607
333,0.08811638
334,0.13490188
335,0.05408424
336,0.12271002
337,0.108297035
338,0.048823543
339,0.03715748
340,0.055917766
341,0.047704067
342,0.060047574
343,0.040379256
344,0.09701339
345,0.13540699
346,0.073979795
347,0.102345616
348,0.08805823
349,0.037644763
350,0.08315186
351,0.11789681
352,0.11798814
353,0.091420114
354,0.045363843
355,0.040174693
356,0.059695538
357,0.05441048
358,0.08667301
359,0.12540957
360,0.091278136
361,0.028859917
362,0.04027009
363,0.064134285
364,0.098567896
365,0.024820313
366,0.06072883
367,0.094107255
368,0.032561146
369,0.027204666
370,0.10270999
371,0.033229157
372,0.05976543
373,0.09852357
374,0.120111875
375,0.07301898
376,0.08973156
377,0.060387984
378,0.05774668
379,0.072516605
380,0.10388912
381,0.08053773
382,0.18395957
383,0.04601451
384,0.078563236
385,0.07324296
386,0.08097434
387,0.15490724
388,0.048890524
389,0.041880794
390,0.079508014
391,0.038765684
392,0.101429336
393,0.05382903
394,0.022546124
395,0.06439103
396,0.04171683
397,0.1181168
398,0.08157553
399,0.059497394
400,0.02914991
401,0.09842174
402,0.045087703
403,0.11304252
404,0.031329904
405,0.0476802
406,0.09048004
407,0.10609561
408,0.073415905
409,0.062594905
410,0.1361321
411,0.13926736
412,0.16307366
413,0.036387146
414,0.07129246
415,0.07876921
416,0.11342687
417,0.14074707
418,0.04600151
419,0.13348271
420,0.105814055
421,0.028418545
422,0.10096733
423,0.03248802
424,0.058277436
425,0.028413258
426,0.052644182
427,0.037118796
428,0.06626497
429,0.10101554
430,0.026120778
431,0.075178035
432,0.12073321
433,0.10526116
434,0.05877357
435,0.051336244
436,0.039744444
437,0.032986604
438,0.042295583
439,0.06386281
440,0.12038534
441,0.045274705
442,0.036990575
443,0.08393544
444,0.1286405
445,0.08511968
446,0.121213384
447,0.044648264
448,0.056159407
449,0.056828305
450,0.030167865
451,0.08517694
452,0.075085
453,0.09404147
454,0.044384457
455,0.13597018
456,0.044993393
457,0.037121072
458,0.04991809
459,0.06880771
460,0.09069058
461,0.046162054
462,0.02578957
463,0.041757368
464,0.083218515
465,0.08403537
466,0.08747429
467,0.07324788
468,0.2139284
469,0.06353146
470,0.07859974
471,0.021050844
472,0.09871035
473,0.096568994
474,0.07056682
475,0.070877485
476,0.051439345
477,0.10896607
478,0.116823494
479,0.115961164
480,0.049587473
481,0.03865215
482,0.114328265
483,0.13212878
484,0.15652043
485,0.11839445
486,0.064982936
487,0.055769097
488,0.11417438
489,0.048501983
490,0.07395438
491,0.086888075
492,0.06090475
493,0.08227153
494,0.07788119
495,0.059093297
496,0.059666224
497,0.031722076
498,0.066633314
499,0.106829494
500,0.03696868
501,0.04029665
502,0.060441848
503,0.036103904
504,0.06956529
505,0.051622503
506,0.10018325
507,0.050469182
508,0.09287588
509,0.03185229
510,0.08444072
511,0.04916971
512,0.028478183
513,0.0993302
514,0.13493672
515,0.10064814
516,0.08391468
517,0.05800954
518,0.030279476
519,0.04642075
520,0.034018278
521,0.09395568
522,0.10669874
523,0.048000745
524,0.049811937
525,0.0513115
526,0.057554733
527,0.07345459
528,0.07986288
529,0.03718116
530,0.11917277
531,0.022646764
532,0.1301414
533,0.05072662
534,0.055828325
535,0.044898033
536,0.09744024
537,0.046295084
538,0.02956636
539,0.038799673
540,0.054623045
541,0.15471637
542,0.095632285
543,0.09083302
544,0.056987282
545,0.042777687
546,0.05761858
547,0.029891316
548,0.053544424
549,0.1005473
550,0.10060422
551,0.059460867
552,0.05674607
553,0.052756485
554,0.059820894
555,0.12278959
556,0.10790603
557,0.037603196
558,0.116590776
559,0.057611465
560,0.084610775
561,0.07063411
562,0.036550973
563,0.12251721
564,0.031166468
565,0.08172529
566,0.11353262
567,0.102243766
568,0.085692465
569,0.02880847
570,0.04727941
571,0.17646107
572,0.04454939
573,0.07345973
574,0.20840448
575,0.050335906
576,0.07269313
577,0.0393544
578,0.120540775
579,0.07005955
580,0.062066354
581,0.029855803
582,0.068253785
583,0.077618025
584,0.026644908
585,0.078221366
586,0.036033556
587,0.08262475
588,0.09793518
589,0.05260291
590,0.068959266
591,0.0701251
592,0.052079365
593,0.057981543
594,0.080207266
595,0.12357636
596,0.08739942
597,0.046570882
598,0.045364276
599,0.049304947
600,0.08489074
601,0.0320517
602,0.033084873
603,0.06673436
604,0.020937297
605,0.07452637
606,0.15070999
607,0.071395054
608,0.09216848
609,0.109897
610,0.03241628
611,0.09205468
612,0.06974408
613,0.0674856
614,0.03922856
615,0.08101335
616,0.043713808
617,0.05622194
618,0.032057483
619,0.12904859
620,0.06434968
621,0.10078045
622,0.020689735
623,0.09100557
624,0.060657866
625,0.025506556
626,0.02887853
627,0.04019986
628,0.04856304
629,0.12818001
630,0.1382283
631,0.027595421
632,0.054583147
633,0.064240545
634,0.033963475
635,0.08811249
636,0.11976839
637,0.057788994
638,0.12951937
639,0.04941486
640,0.027563056
641,0.03889419
642,0.07528286
643,0.12005095
644,0.0557762
645,0.10460251
646,0.089705616
647,0.043211907
648,0.06878631
649,0.032001454
650,0.026944142
651,0.06520313
652,0.033581335
653,0.038699966
654,0.07841549
655,0.021590691
656,0.051048473
657,0.13668731
658,0.09455389
659,0.03942774
660,0.063596666
661,0.048543226
662,0.022973452
663,0.038659863
664,0.07774225
665,0.078972846
666,0.047103543
667,0.035331473
668,0.045681372
669,0.07806136
670,0.04404937
671,0.11165579
672,0.1219289
673,0.06466709
674,0.04230417
675,0.037694976
676,0.10182679
677,0.074894086
678,0.14684069
679,0.124493584
680,0.1527706
681,0.03928346
682,0.089735135
683,0.068173334
684,0.036563154
685,0.040458165
686,0.061530963
687,0.05158894
688,0.038251944
689,0.073008284
690,0.10398309
691,0.105323695
692,0.038488217
693,0.0453418
694,0.120716654
695,0.031616293
696,0.04600863
697,0.058933005
698,0.06333822
699,0.11479705
700,0.034206167
701,0.054855973
702,0.0451331
703,0.0939948
704,0.08083439
705,0.091716565
706,0.071905695
707,0.026117444
708,0.07634397
709,0.13891226
710,0.06570514
711,0.08344576
712,0.1199395
713,0.09654696
714,0.037034772
715,0.027429078
716,0.027455341
717,0.118514135
718,0.088120535
719,0.11182004
720,0.06394588
721,0.07906959
722,0.043959606
723,0.044260293
724,0.056852777
725,0.03745397
726,0.09068623
727,0.07174721
728,0.073192075
729,0.04472106
730,0.011146494
731,0.091244675
732,0.040633515
733,0.07797326
734,0.09891899
735,0.061417326
736,0.048043452
737,0.10331069
738,0.07970906
739,0.11209531
740,0.03715066
741,0.023955463
742,0.02769659
743,0.14388317
744,0.062654436
745,0.040908016
746,0.032673337
747,0.048564017
748,0.055326752
749,0.030832352
750,0.0824762
751,0.07256469
752,0.021310225
753,0.04024136
754,0.05494786
755,0.06009882
756,0.06549616
757,0.13683659
758,0.14050038
759,0.14502878
760,0.07257675
761,0.07763377
762,0.14146996
763,0.056006424
764,0.02611202
765,0.06286583
766,0.0982593
767,0.107186124
768,0.05874312
769,0.054100346
770,0.092186034
771,0.06855035
772,0.048917737
773,0.034206197
774,0.15827206
775,0.028467927
776,0.02588318
777,0.08211289
778,0.10246298
779,0.07451842
780,0.06946561
781,0.045714676
782,0.02355724
783,0.03866896
784,0.10250127
785,0.07680046
786,0.114528075
787,0.08252363
788,0.09498049
789,0.087472916
790,0.19539514
791,0.11542235
792,0.08458769
793,0.12800172
794,0.124027014
795,0.06831817
796,0.11924167
797,0.038810644
798,0.1353357
799,0.0741431
800,0.08486061
801,0.09895394
802,0.06398381
803,0.033912618
804,0.078625366
805,0.09420265
806,0.07447153
807,0.06679921
808,0.037980154
809,0.030238084
810,0.040328145
811,0.09456416
812,0.042797294
813,0.053505078
814,0.07884067
815,0.08195168
816,0.058766045
817,0.061916526
818,0.053106256
819,0.032709677
820,0.041297898
821,0.10107097
822,0.06270132
823,0.10163379
824,0.030227788
825,0.03228604
826,0.060141675
827,0.08286777
828,0.07830407
829,0.114637785
830,0.081748344
831,0.106259465
832,0.059638165
833,0.050241526
834,0.0657598
835,0.038432337
836,0.07080136
837,0.09211347
838,0.051925633
839,0.09886138
840,0.16183493
841,0.076952025
842,0.05129907
843,0.033247396
844,0.062594876
845,0.20172523
846,0.04462452
847,0.091500506
848,0.09520074
849,0.09796243
850,0.10203599
851,0.040843002
852,0.07590824
853,0.022618141
854,0.06556383
855,0.12374398
856,0.01885901
857,0.0638735
858,0.03585463
859,0.05103203
860,0.045685787
861,0.036023065
862,0.035147525
863,0.12949546
864,0.055781737
865,0.024835292
866,0.07160211
867,0.05375391
868,0.049648784
869,0.08201894
870,0.03205905
871,0.1300796
872,0.046250135
873,0.14229682
874,0.07503629
875,0.07449559
876,0.034170844
877,0.029577289
878,0.16282599
879,0.024326317
880,0.13664208
881,0.10821066
882,0.030700747
883,0.16724691
884,0.09520754
885,0.069992535
886,0.022298487
887,0.08972156
888,0.09022759
889,0.032128483
890,0.06345142
891,0.069363035
892,0.07706568
893,0.15881638
894,0.061864365
