,JS_divergence
532,0.48032585
533,0.19134922
534,0.29807925
535,0.29505104
536,0.40309954
537,0.25478482
538,0.13573673
539,0.20307767
540,0.10679462
541,0.34259656
542,0.5349233
543,0.1632017
544,0.2652764
545,0.3092898
546,0.09629217
547,0.2367726
548,0.26954842
549,0.36980802
550,0.50787586
551,0.168778
552,0.2439426
553,0.43048263
554,0.27748615
555,0.15412693
556,0.17799172
557,0.5240032
558,0.5337388
559,0.24980286
560,0.21247754
561,0.22151655
562,0.5158825
563,0.18578634
564,0.23338735
565,0.17303967
566,0.1416222
567,0.20032147
568,0.14762755
569,0.42414558
570,0.19834559
571,0.5293021
572,0.10614977
573,0.18912134
574,0.4861274
575,0.3229074
576,0.21463507
577,0.37704444
578,0.44757253
579,0.15782106
580,0.28314823
581,0.4634748
582,0.53039014
583,0.28098744
584,0.3083924
585,0.26462185
586,0.23757854
587,0.20661303
588,0.15746361
589,0.1993686
590,0.53618324
591,0.17570315
592,0.2108753
593,0.2437163
594,0.13488282
595,0.13840458
596,0.18262449
597,0.31243306
598,0.50339234
599,0.3649213
600,0.5359715
601,0.17546323
602,0.24618036
603,0.20461555
604,0.22125569
605,0.25654444
606,0.49716976
607,0.53586614
608,0.18174598
609,0.44169834
610,0.32255942
611,0.14545567
612,0.19084805
613,0.16543421
614,0.18549764
615,0.38289458
616,0.44274032
617,0.25843936
618,0.09892367
619,0.46701315
620,0.40212122
621,0.2050314
622,0.1240011
623,0.22674996
624,0.5055469
625,0.13268492
626,0.4982029
627,0.40231892
628,0.40480858
629,0.47859395
630,0.17297037
631,0.23147073
632,0.29256508
633,0.18030673
634,0.21834059
635,0.19668856
636,0.11736919
637,0.40046865
638,0.12047374
639,0.13715088
640,0.28216243
641,0.24676663
642,0.18199685
643,0.47625524
644,0.2715362
645,0.5055224
646,0.5153257
647,0.2538005
648,0.13270658
649,0.29394826
650,0.31434727
651,0.14977592
652,0.18312486
653,0.27967674
654,0.10392068
655,0.18165159
656,0.096759945
657,0.4212941
658,0.17528087
659,0.2849959
660,0.16990687
661,0.3742928
662,0.5212624
663,0.28322732
664,0.44520253
665,0.20390594
666,0.30621225
667,0.19547787
668,0.26472032
669,0.24504223
670,0.4816022
671,0.1955238
672,0.40179542
673,0.4987729
674,0.24502753
675,0.5027878
676,0.4601854
677,0.16167817
678,0.48263818
679,0.31938088
680,0.46876082
681,0.25889993
682,0.30448523
683,0.26763698
684,0.38080618
685,0.30691957
686,0.32791543
687,0.17604798
688,0.3377009
689,0.19350076
690,0.17541504
691,0.2144935
692,0.15588227
693,0.28483772
694,0.12842283
695,0.47703123
696,0.15892267
697,0.45515618
698,0.20590952
699,0.5221454
700,0.24046344
701,0.19815874
702,0.43686888
703,0.19315219
704,0.3961385
705,0.35575682
706,0.13428468
707,0.20244026
708,0.088987865
709,0.15843871
710,0.5660366
711,0.13516402
712,0.14236222
713,0.3693602
714,0.20244446
715,0.36110142
716,0.23239616
717,0.15220858
718,0.3565365
719,0.1751616
720,0.51453006
721,0.16356736
722,0.12912087
723,0.17480347
724,0.23538716
725,0.318327
726,0.2886738
727,0.50156003
728,0.15060924
729,0.34825748
730,0.42747015
731,0.41949025
732,0.518379
733,0.356673
734,0.431781
735,0.19417182
736,0.5140094
737,0.44866997
738,0.18335676
739,0.5080436
740,0.22544757
741,0.28281137
742,0.28956616
743,0.44879812
744,0.52476555
745,0.16966593
746,0.24274355
747,0.54962885
748,0.2936222
749,0.39851913
750,0.11839415
751,0.19827625
752,0.4446702
753,0.5024943
754,0.31500816
755,0.2257033
756,0.21743917
757,0.14371103
758,0.16058698
759,0.51901686
760,0.45347887
761,0.16985038
762,0.46172857
763,0.24339679
764,0.12803142
765,0.25588602
766,0.12918274
767,0.16781516
768,0.2672919
769,0.27136463
770,0.3071699
771,0.20581189
772,0.17779097
773,0.33345765
774,0.4467707
775,0.31621596
776,0.17937072
777,0.33074164
778,0.18299222
779,0.49947786
780,0.13659911
781,0.25492585
782,0.34687883
783,0.25133967
784,0.30273917
785,0.14984241
786,0.47276288
787,0.1533773
788,0.15379842
789,0.18021576
790,0.49546993
791,0.52583903
792,0.26447272
793,0.17367283
794,0.42753488
795,0.38976657
796,0.50196683
797,0.2932143
798,0.47262615
799,0.21331972
800,0.5021026
801,0.3452854
802,0.28856373
803,0.50342715
804,0.16982126
805,0.20949873
806,0.12971477
807,0.20017636
808,0.1343211
809,0.21085447
810,0.23839778
811,0.43039107
812,0.27088952
813,0.32971656
814,0.28240234
815,0.15002255
816,0.27535656
817,0.5067725
818,0.2094143
819,0.16723436
820,0.18212226
821,0.42175648
822,0.12592098
823,0.17652304
824,0.21272384
825,0.22082177
826,0.33085024
827,0.29647896
828,0.47162065
829,0.48532164
830,0.23265582
831,0.17525402
832,0.22716594
833,0.36631688
834,0.34302372
835,0.5305768
836,0.2090812
837,0.4794356
838,0.14123423
839,0.16917834
840,0.5599253
841,0.25779226
842,0.4094842
843,0.23147264
844,0.19777238
845,0.40740383
846,0.3556233
847,0.1216277
848,0.17017743
849,0.19708794
850,0.21651278
851,0.14683113
852,0.21603702
853,0.12817618
854,0.32474247
855,0.28229296
856,0.20089348
857,0.18971765
858,0.5265806
859,0.45290887
860,0.2507398
861,0.37214765
862,0.231887
863,0.5236793
864,0.33163655
865,0.1507162
866,0.23765108
867,0.49727577
868,0.2297953
869,0.18498361
870,0.47504693
871,0.3111662
872,0.4717627
873,0.45332462
874,0.29303342
875,0.20537007
876,0.23271754
877,0.16967127
878,0.19184567
879,0.4570135
880,0.13888529
881,0.45245022
882,0.12722802
883,0.41814905
884,0.28503823
885,0.16976345
886,0.12487762
887,0.2957909
888,0.3578006
889,0.31684834
890,0.48898774
891,0.40977952
892,0.3875962
893,0.4801957
894,0.18764913
895,0.35485289
896,0.34092444
897,0.33865228
898,0.5275618
899,0.25068277
900,0.37369412
901,0.44873083
902,0.19280726
903,0.30359894
904,0.15272036
905,0.1598824
906,0.15311012
907,0.28781265
908,0.1438885
909,0.49196523
910,0.44391346
911,0.52826095
912,0.4812705
913,0.31929928
914,0.17929639
915,0.12848029
916,0.16972537
917,0.15410525
918,0.15537705
919,0.35997868
920,0.23408298
921,0.4674722
922,0.1936534
923,0.16307569
924,0.23401135
925,0.18087825
926,0.14705113
927,0.39704877
928,0.3644836
929,0.14424437
930,0.42438847
931,0.3246291
932,0.25758892
933,0.40321785
934,0.46915007
935,0.15019691
936,0.18345758
937,0.2197271
938,0.3301201
939,0.38783154
940,0.32315922
941,0.1689229
942,0.17706746
943,0.31435198
944,0.21457604
945,0.37265354
946,0.16760388
947,0.25710928
948,0.377873
949,0.47274107
950,0.31536072
951,0.15550157
952,0.46478277
953,0.10855414
954,0.40802103
955,0.5593905
956,0.16788936
957,0.531514
958,0.14181879
959,0.20018545
960,0.17244735
961,0.51949847
962,0.5390076
